Bundle ID,Total Downloads,Version Count,Source Count
dsre-git-skillset,26,1,1
workflow-nevio,867,15,1
pr-review,173,1,1
foursight-code-assessment,45,1,1
task-driven-agents,80,1,1
agents-md-creator,21,1,1
amadeus-ospo,83,1,1
aude,64,1,1
slidev,68,1,1
rtl-engineering,8,1,1
java-engineering,141,1,1
pr-reviewer-generator,116,1,1
skill-evaluation,33,1,1
raav-workflow,12,1,1
log-verbosity-reduction,113,1,1
redteam-agent-fleet,2,1,1
reflex,150,1,1
batch-elasticity,8,1,1
etk-workflow,70,1,1
refx-nre-qa-agents,42,1,1
travel-companion,4,1,1
stay-in-the-loop,1,1,1
skubedocs,207,1,1
amadeus-microservice-coding-guidebook,226,1,1
archreview,105,1,1
cnadocs,99,1,1
opentelemetry-tracing-toolkit,28,1,1
nevio-solution-architecture-runway,16,1,1
orms-qa-automation-agent,3,1,1
rail-ui-context,8,1,1
rail-obe-context,11,1,1
rail-devopstoolchain-context,2,1,1
airline-solutions-architecture,110,1,1
design-factory,38,1,1
specifications-as-code-collection,14,1,1
uiblueprint-collection,4,1,1
javaswing-angular,2,1,1
migration-planning,22,1,1
design-factory-angular,20,1,1
coach-developers-to-prompt,1,1,1
context-generation-collection,14,1,1
webapp-parity,15,1,1
testing,14,1,1
skill-best-practices,0,1,1
search-and-learn,15,1,1
angular-migration,22,1,1
amadeus-pptx,6,1,1
vscode-project-template-generator,1,1,1
orion-skube-version-upgrade,3,1,1
expert-documentation-analyst,0,1,1
nevio-gitops-diagnostics,2,1,1
nevio-finops-reporting,0,1,1
nevio-renovate-automation,0,1,1
nevio-deployment-automation,0,1,1
emea-digital-services-workflow,0,1,1
